77.25,77822.00,2171.30,3.27,-8.48,1.32,324.81,43.63,156.64,-6.98,2.55,-7.06,-1.47,-2.24,2.59
77.26,77818.00,2171.71,3.30,-8.55,1.35,324.77,42.98,162.41,-7.06,2.71,-6.86,-0.77,-3.64,3.43
77.22,77817.00,2171.81,3.33,-8.62,1.35,324.79,45.07,153.30,-7.14,2.71,-6.83,1.05,1.54,0.35
77.25,77819.00,2171.61,3.35,-8.69,1.36,324.81,41.34,165.69,-6.98,2.82,-7.10,-1.26,-1.19,0.84
77.26,77825.00,2170.99,3.38,-8.76,1.37,324.82,44.69,145.40,-7.10,2.86,-6.98,-2.24,-1.75,0.98
77.25,77817.00,2171.81,3.41,-8.84,1.36,324.83,42.50,183.05,-7.30,2.59,-6.94,-1.75,0.77,-1.05
77.25,77816.00,2171.92,3.44,-8.91,1.39,324.83,46.65,104.40,-7.14,2.98,-6.90,-0.07,-1.89,3.36
77.25,77818.00,2171.71,3.47,-8.98,1.39,324.79,39.17,295.62,-7.34,2.90,-6.94,2.31,-0.35,-0.70
77.21,77819.00,2171.61,3.50,-9.05,1.45,324.76,52.74,-293.39,-7.14,2.75,-6.86,5.67,-5.81,6.51
77.22,77815.00,2172.02,3.52,-9.12,1.49,324.76,28.22,2109.54,-7.18,2.71,-6.90,0.84,-4.13,3.57
77.22,77819.00,2171.61,3.55,-9.19,1.61,324.74,73.95,-13186.59,-6.59,2.90,-6.28,4.20,-17.85,12.11
77.22,77823.00,2171.20,3.57,-9.26,1.62,324.70,-16.06,437238.18,-7.30,2.35,-6.90,-1.33,-4.34,1.47
77.25,77824.00,2171.09,3.60,-9.33,1.71,324.69,171.22,1692894.00,-6.83,3.02,-6.98,-2.80,-13.02,8.96
77.21,77811.00,2172.43,3.63,-9.40,1.80,324.59,-241.88,8358272.00,-7.41,2.75,-6.71,-4.97,-12.46,8.54
77.26,77813.00,2172.23,3.67,-9.48,1.83,324.53,713.28,57380672.00,-7.10,3.33,-6.86,-0.49,-6.30,3.15
77.20,77821.00,2171.40,3.69,-9.55,1.88,324.50,-1593.19,1174332928.00,-7.06,2.63,-6.98,-1.33,-6.37,4.62
77.22,77814.00,2172.12,3.72,-9.62,1.89,324.48,4223.75,-3377422336.00,-7.37,3.06,-6.90,-3.64,-10.92,1.82
77.20,77810.00,2172.54,3.75,-9.70,1.93,324.45,-11110.50,ovf,-7.49,2.82,-6.75,0.70,-6.79,3.36
77.22,77818.00,2171.71,3.78,-9.77,1.95,324.45,31130.00,ovf,-7.45,2.43,-7.22,-11.13,-16.66,2.52
77.20,77812.00,2172.33,3.81,-9.85,1.99,324.38,-90194.00,ovf,-7.69,3.06,-6.79,-10.08,-13.37,3.29
77.20,77821.00,2171.40,3.84,-9.92,2.12,324.32,272872.00,ovf,-7.22,3.61,-5.92,-9.03,-15.05,13.44
77.20,77816.00,2171.92,3.88,-10.00,2.19,324.24,-858496.00,ovf,-7.73,3.80,-6.08,-2.10,-9.03,7.35
77.25,77816.00,2171.92,3.91,-10.08,2.22,324.16,2810240.00,ovf,-7.96,2.86,-6.08,-3.22,5.25,2.87
77.21,77809.00,2172.64,3.94,-10.14,2.30,324.04,-9563648.00,ovf,-6.90,3.57,-6.08,-1.89,-5.32,7.70
77.21,77812.00,2172.33,3.98,-10.22,2.30,323.93,33825792.00,ovf,-7.61,3.37,-6.04,4.62,1.61,0.21
77.21,77819.00,2171.61,4.01,-10.29,2.32,323.83,-124297216.00,ovf,-7.06,3.26,-6.47,-3.15,-0.07,1.96
77.20,77809.00,2172.64,4.05,-10.36,2.39,323.72,474480640.00,ovf,-7.22,3.77,-6.04,-3.50,-1.40,7.14
77.22,77799.00,2173.67,4.09,-10.44,2.37,323.62,-1881276416.00,ovf,-7.37,3.69,-6.08,3.71,2.31,-2.38
77.21,77807.00,2172.84,4.12,-10.51,2.39,323.51,ovf,ovf,-7.41,3.65,-6.12,-0.98,-2.66,1.89
77.20,77814.00,2172.12,4.16,-10.59,2.38,323.44,ovf,ovf,-7.65,3.61,-6.00,-0.91,-1.75,-1.05
77.21,77806.00,2172.95,4.20,-10.66,2.35,323.40,ovf,ovf,-7.53,3.77,-6.20,0.70,3.57,-2.66
77.21,77815.00,2172.02,4.23,-10.73,2.34,323.36,ovf,ovf,-6.86,3.53,-6.16,-1.54,-4.27,-1.05
77.20,77806.00,2172.95,4.26,-10.80,2.30,323.35,ovf,ovf,-7.30,3.06,-6.47,-3.78,6.02,-3.64
77.21,77815.00,2172.02,4.29,-10.88,2.24,323.32,ovf,ovf,-7.45,3.14,-6.20,3.01,6.02,-6.02
77.19,77803.00,2173.26,4.33,-10.95,2.24,323.33,ovf,ovf,-7.45,3.65,-6.00,-1.47,0.07,-0.84
77.19,77818.00,2171.71,4.37,-11.02,2.25,323.29,ovf,ovf,-7.02,3.73,-6.35,5.18,-0.35,1.19
77.21,77814.00,2172.12,4.40,-11.10,2.24,323.32,ovf,ovf,-7.57,3.14,-6.47,-2.17,-1.47,-0.84
77.19,77806.00,2172.95,4.43,-11.17,2.23,323.31,ovf,ovf,-6.86,3.45,-6.35,-1.68,0.77,-0.49
77.21,77819.00,2171.61,4.46,-11.24,2.25,323.34,ovf,ovf,-7.41,3.22,-6.16,3.57,-3.92,1.33
77.20,77810.00,2172.54,4.49,-11.31,2.21,323.34,ovf,ovf,-7.22,3.06,-6.32,1.05,0.14,-3.36
77.20,77811.00,2172.43,4.53,-11.39,2.20,323.33,ovf,ovf,-7.41,3.45,-6.39,3.01,0.77,-1.89
77.19,77814.00,2172.12,4.56,-11.46,2.19,323.36,ovf,ovf,-7.22,3.49,-6.35,1.26,2.87,-0.84
77.20,77812.00,2172.33,4.60,-11.54,2.18,323.37,ovf,ovf,-7.77,3.26,-6.20,2.03,2.03,-0.56
77.20,77807.00,2172.84,4.63,-11.61,2.16,323.41,ovf,ovf,-7.49,3.41,-6.04,1.61,0.49,-1.96
77.22,77812.00,2172.33,4.66,-11.69,2.16,323.45,ovf,ovf,-7.61,3.33,-6.16,2.31,0.84,0.28
77.25,77809.00,2172.64,4.70,-11.76,2.11,323.53,ovf,ovf,-6.71,3.14,-6.67,19.67,18.13,-5.18
77.20,77811.00,2172.43,4.74,-11.84,2.00,323.56,ovf,ovf,-8.28,3.96,-6.39,25.83,42.42,-10.78
77.20,77811.00,2172.43,4.76,-11.90,1.90,323.66,ovf,ovf,-6.35,2.59,-7.02,-5.88,3.64,-10.78
77.19,77813.00,2172.23,4.79,-11.97,1.93,323.65,ovf,ovf,-6.63,2.63,-7.06,10.71,9.03,3.64
77.20,77818.00,2171.71,4.81,-12.04,2.02,323.66,ovf,ovf,-7.34,2.71,-7.02,2.24,0.98,8.75
